"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0007059","chromosome segregation","17/36","348/18800",1.48840109698978e-20,9.79367921819272e-18,6.31395412723031e-18,"AURKB/BUB1B/BUB3/CCNE1/CDCA8/FEN1/HJURP/MAD2L1/NCAPG/NUSAP1/OIP5/RAD21/SMC4/SPAG5/SPC25/SPDL1/ZWINT",17
"BP","GO:0098813","nuclear chromosome segregation","15/36","287/18800",1.65081761618965e-18,5.43118995726393e-16,3.50147104907593e-16,"AURKB/BUB1B/BUB3/CCNE1/CDCA8/FEN1/MAD2L1/NCAPG/NUSAP1/RAD21/SMC4/SPAG5/SPC25/SPDL1/ZWINT",15
"BP","GO:0000280","nuclear division","16/36","446/18800",3.64781187125668e-17,6.40506593930662e-15,4.12932582553282e-15,"AURKB/BUB1B/BUB3/CCNE1/CDCA8/CKS2/MAD2L1/NCAPG/NUSAP1/RAD21/RAD51AP1/SMC4/SPAG5/SPDL1/UBE2S/ZWINT",16
"BP","GO:0000819","sister chromatid segregation","13/36","205/18800",3.89365710596147e-17,6.40506593930662e-15,4.12932582553282e-15,"AURKB/BUB1B/BUB3/CDCA8/FEN1/MAD2L1/NCAPG/NUSAP1/RAD21/SMC4/SPAG5/SPDL1/ZWINT",13
"BP","GO:0048285","organelle fission","16/36","493/18800",1.77300666290049e-16,2.33327676837704e-14,1.50425617926084e-14,"AURKB/BUB1B/BUB3/CCNE1/CDCA8/CKS2/MAD2L1/NCAPG/NUSAP1/RAD21/RAD51AP1/SMC4/SPAG5/SPDL1/UBE2S/ZWINT",16
"BP","GO:0000070","mitotic sister chromatid segregation","12/36","171/18800",2.24812196755193e-16,2.46544042441529e-14,1.58946167179549e-14,"AURKB/BUB1B/BUB3/CDCA8/MAD2L1/NCAPG/NUSAP1/RAD21/SMC4/SPAG5/SPDL1/ZWINT",12
"BP","GO:0140014","mitotic nuclear division","13/36","293/18800",4.11459989645097e-15,3.86772390266391e-13,2.49350941093194e-13,"AURKB/BUB1B/BUB3/CDCA8/MAD2L1/NCAPG/NUSAP1/RAD21/SMC4/SPAG5/SPDL1/UBE2S/ZWINT",13
"BP","GO:0045841","negative regulation of mitotic metaphase/anaphase transition","7/36","40/18800",9.04759438750021e-13,7.44164638371892e-11,4.79760597126656e-11,"AURKB/BUB1B/BUB3/MAD2L1/RAD21/SPDL1/ZWINT",7
"BP","GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle","7/36","42/18800",1.30570390372041e-12,8.54019878283836e-11,5.50583924089563e-11,"AURKB/BUB1B/BUB3/MAD2L1/RAD21/SPDL1/ZWINT",7
"BP","GO:0033046","negative regulation of sister chromatid segregation","7/36","43/18800",1.5574830607e-12,8.54019878283836e-11,5.50583924089563e-11,"AURKB/BUB1B/BUB3/MAD2L1/RAD21/SPDL1/ZWINT",7
