"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0140014","mitotic nuclear division","34/73","293/18800",2.19634363971733e-42,2.10629355048892e-39,1.5073853190481e-39,"ANLN/AURKA/BUB1/CCNB1/CDC20/CDC25C/CDCA2/CENPE/CENPF/DLGAP5/KIF11/KIF14/KIF18A/KIF20B/KIF23/KIF2C/KIF4A/KIFC1/KNSTRN/MKI67/MZT1/NCAPD2/NDC80/NEK2/NUF2/PLK1/PRC1/PSRC1/PTTG1/RACGAP1/TACC3/TPX2/TTK/UBE2C",34
"BP","GO:0000280","nuclear division","37/73","446/18800",6.84526330975937e-41,3.28230375702962e-38,2.34900614629637e-38,"ANLN/ASPM/AURKA/BUB1/CCNB1/CCNB2/CDC20/CDC25C/CDCA2/CENPE/CENPF/DLGAP5/KIF11/KIF14/KIF18A/KIF20B/KIF23/KIF2C/KIF4A/KIFC1/KNSTRN/MKI67/MZT1/NCAPD2/NDC80/NEK2/NUF2/PLK1/PRC1/PSRC1/PTTG1/RACGAP1/TACC3/TOP2A/TPX2/TTK/UBE2C",37
"BP","GO:0048285","organelle fission","37/73","493/18800",2.96178632697384e-39,9.46784362522638e-37,6.77573573749805e-37,"ANLN/ASPM/AURKA/BUB1/CCNB1/CCNB2/CDC20/CDC25C/CDCA2/CENPE/CENPF/DLGAP5/KIF11/KIF14/KIF18A/KIF20B/KIF23/KIF2C/KIF4A/KIFC1/KNSTRN/MKI67/MZT1/NCAPD2/NDC80/NEK2/NUF2/PLK1/PRC1/PSRC1/PTTG1/RACGAP1/TACC3/TOP2A/TPX2/TTK/UBE2C",37
"BP","GO:0000819","sister chromatid segregation","27/73","205/18800",8.59857428394588e-35,1.87112007060492e-32,1.3390815938032e-32,"BUB1/CCNB1/CDC20/CENPE/CENPF/DLGAP5/KIF14/KIF18A/KIF23/KIF2C/KIF4A/KIFC1/KNSTRN/NCAPD2/NDC80/NEK2/NUF2/PLK1/PRC1/PSRC1/PTTG1/RACGAP1/SFPQ/TACC3/TOP2A/TTK/UBE2C",27
"BP","GO:0007059","chromosome segregation","31/73","348/18800",9.75557909595892e-35,1.87112007060492e-32,1.3390815938032e-32,"BUB1/CCNB1/CDC20/CDCA2/CENPE/CENPF/DLGAP5/ECT2/FAM83D/KIF14/KIF18A/KIF23/KIF2C/KIF4A/KIFC1/KNSTRN/MKI67/NCAPD2/NDC80/NEK2/NUF2/PLK1/PRC1/PSRC1/PTTG1/RACGAP1/SFPQ/TACC3/TOP2A/TTK/UBE2C",31
"BP","GO:0098813","nuclear chromosome segregation","29/73","287/18800",5.30872761496119e-34,8.48511630457964e-32,6.07243930693807e-32,"BUB1/CCNB1/CDC20/CENPE/CENPF/DLGAP5/ECT2/FAM83D/KIF14/KIF18A/KIF23/KIF2C/KIF4A/KIFC1/KNSTRN/NCAPD2/NDC80/NEK2/NUF2/PLK1/PRC1/PSRC1/PTTG1/RACGAP1/SFPQ/TACC3/TOP2A/TTK/UBE2C",29
"BP","GO:0000070","mitotic sister chromatid segregation","25/73","171/18800",2.43157762904005e-33,3.33126135178487e-31,2.3840430287731e-31,"BUB1/CCNB1/CDC20/CENPE/CENPF/DLGAP5/KIF14/KIF18A/KIF23/KIF2C/KIF4A/KIFC1/KNSTRN/NCAPD2/NDC80/NEK2/NUF2/PLK1/PRC1/PSRC1/PTTG1/RACGAP1/TACC3/TTK/UBE2C",25
"BP","GO:0007051","spindle organization","25/73","188/18800",2.96845604882042e-32,3.55843668852348e-30,2.54662282083015e-30,"ASPM/AURKA/CCNB1/CCNB2/CDC20/CENPE/CKAP5/DLGAP5/GPSM2/KIF11/KIF23/KIF4A/KIFC1/KNSTRN/MZT1/NDC80/NEK2/NUF2/PLK1/PRC1/PSRC1/RACGAP1/TACC3/TPX2/TTK",25
"BP","GO:0007052","mitotic spindle organization","22/73","124/18800",2.89877434327902e-31,3.08880510578287e-29,2.21052733545956e-29,"AURKA/CCNB1/CDC20/CENPE/CKAP5/DLGAP5/GPSM2/KIF11/KIF23/KIF4A/KIFC1/MZT1/NDC80/NEK2/NUF2/PLK1/PRC1/PSRC1/RACGAP1/TACC3/TPX2/TTK",22
"BP","GO:1902850","microtubule cytoskeleton organization involved in mitosis","23/73","151/18800",4.59424054646833e-31,4.40587668406313e-29,3.15309982768142e-29,"AURKA/CCNB1/CDC20/CENPA/CENPE/CKAP5/DLGAP5/GPSM2/KIF11/KIF23/KIF4A/KIFC1/MZT1/NDC80/NEK2/NUF2/PLK1/PRC1/PSRC1/RACGAP1/TACC3/TPX2/TTK",23
